mean,std_err,ci_2.5,ci_97.5,p_value,word_index
0.151501809,0.019825489,0.114247256,0.19194929,0.00049975,0
0.186770113,0.036259085,0.114461571,0.256830786,0.00049975,1
0.153722378,0.03149396,0.093059571,0.213260346,0.00049975,2
0.18436437,0.034264056,0.117880861,0.253086116,0.00049975,3
0.163795326,0.024942247,0.117437247,0.212146786,0.00049975,4
0.136949691,0.03412008,0.075857385,0.206624697,0.00049975,5
0.154457894,0.023259202,0.110135904,0.20139552,0.00049975,6
0.147783613,0.034179917,0.08436084,0.217030742,0.00049975,7
0.172208008,0.025721328,0.124521975,0.222920186,0.00049975,8
0.166879286,0.024120116,0.119812309,0.214511906,0.00049975,9
0.157299718,0.021224408,0.117841989,0.199722555,0.00049975,10
0.138789373,0.019160706,0.104070619,0.177508467,0.00049975,11
0.11933367,0.024435243,0.074598259,0.168772203,0.00049975,12
0.169820884,0.028680685,0.116753345,0.227240413,0.00049975,13
0.188850846,0.033384235,0.126564041,0.256747907,0.00049975,14
0.185755246,0.027702806,0.133238621,0.240012155,0.00049975,15
0.154458204,0.024682681,0.10733742,0.204222752,0.00049975,16
0.173769694,0.024647552,0.12824561,0.222567295,0.00049975,17
0.145492493,0.028847056,0.089795074,0.20136572,0.00049975,18
0.178358637,0.033674072,0.112959445,0.244754066,0.00049975,19
0.146569547,0.023615685,0.10235346,0.193219267,0.00049975,20
0.146013015,0.020146261,0.107277037,0.185882077,0.00049975,21
0.159736995,0.022113266,0.116033308,0.203372474,0.00049975,22
0.143647152,0.018994917,0.105348683,0.18019063,0.00049975,23
0.245671059,0.032222896,0.184305021,0.309402409,0.00049975,24
0.134074144,0.023692268,0.089576019,0.1825708,0.00049975,25
0.181361529,0.027077887,0.130817772,0.236552457,0.00049975,26
0.155324459,0.030463948,0.098362386,0.219324382,0.00049975,27
0.138230097,0.019461278,0.101133529,0.1747041,0.00049975,28
0.186280002,0.030206806,0.128451179,0.246901723,0.00049975,29
0.120357889,0.027299516,0.065949166,0.172158991,0.00049975,30
0.164380807,0.024118644,0.119144058,0.214551667,0.00049975,31
0.111960936,0.024673113,0.064839742,0.160318975,0.00049975,32
0.099270237,0.018149295,0.064965958,0.138397673,0.00049975,33
0.174195418,0.022169573,0.129620851,0.218510778,0.00049975,34
0.112409952,0.03559907,0.047903716,0.184793878,0.00049975,35
0.169080326,0.02779237,0.117430131,0.223923024,0.00049975,36
0.160363899,0.027711822,0.107517003,0.215433456,0.00049975,37
0.147208996,0.02833233,0.093417621,0.205001522,0.00049975,38
0.102919313,0.018635789,0.066423014,0.139647685,0.00049975,39
0.109661493,0.026033046,0.057652323,0.161603378,0.00049975,40
0.149165412,0.02459449,0.10072877,0.198291546,0.00049975,41
0.150963742,0.01860796,0.115539548,0.188351696,0.00049975,42
0.114295706,0.023549924,0.069647541,0.160231169,0.00049975,43
0.196502857,0.028531067,0.139680211,0.25358785,0.00049975,44
0.133490527,0.02214505,0.093306963,0.179449503,0.00049975,45
0.091366593,0.028024749,0.039017917,0.145640407,0.00049975,46
0.17587838,0.026694939,0.126354187,0.228956251,0.00049975,47
0.124538245,0.020805344,0.089792367,0.170713504,0.00049975,48
0.14510864,0.019793555,0.106741837,0.184621214,0.00049975,49
0.12464281,0.015915169,0.094059281,0.156901957,0.00049975,50
0.15284766,0.028596864,0.097287325,0.209296506,0.00049975,51
0.137855023,0.025103747,0.090328164,0.189922167,0.00049975,52
0.206050285,0.028103011,0.154016608,0.263847924,0.00049975,53
0.153125184,0.022459287,0.110604597,0.196015114,0.00049975,54
0.156018546,0.02730951,0.106720325,0.211511574,0.00049975,55
0.193114033,0.026488534,0.141350702,0.244432273,0.00049975,56
0.205440125,0.02619057,0.15497619,0.257680155,0.00049975,57
0.184331582,0.027917792,0.131471891,0.240978321,0.00049975,58
0.181675923,0.02319908,0.138132315,0.226870524,0.00049975,59
0.109345665,0.027540506,0.056871355,0.163745571,0.00049975,60
0.176155914,0.025642694,0.128349904,0.226324822,0.00049975,61
0.151437447,0.02674285,0.098736807,0.203936426,0.00049975,62
0.165988079,0.025633988,0.119011955,0.21988911,0.00049975,63
0.154223959,0.022537127,0.111536901,0.197354587,0.00049975,64
0.154419796,0.02397175,0.10845008,0.202535149,0.00049975,65
0.100714554,0.020808374,0.061436324,0.14256566,0.00049975,66
0.134561754,0.020069542,0.095153373,0.174517702,0.00049975,67
0.161181216,0.019283001,0.125241535,0.200768683,0.00049975,68
0.07469726,0.014180339,0.047960246,0.104025536,0.00049975,69
0.198879397,0.025965312,0.149542724,0.252323567,0.00049975,70
0.100987177,0.017944938,0.067635299,0.13777143,0.00049975,71
0.089863148,0.014950743,0.062053103,0.1220609,0.00049975,72
0.179330883,0.032676027,0.115731995,0.243718942,0.00049975,73
0.207204346,0.026139634,0.157297476,0.254937665,0.00049975,74
0.104925428,0.012658421,0.080296505,0.130672649,0.00049975,75
0.121841533,0.027460768,0.069990041,0.176145706,0.00049975,76
0.136566756,0.021224555,0.098167472,0.17958699,0.00049975,77
0.166958636,0.018042936,0.132773336,0.203940179,0.00049975,78
0.13575953,0.031256268,0.076861464,0.198704441,0.00049975,79
0.075758485,0.013921432,0.049042366,0.103299971,0.00049975,80
0.123365738,0.016081929,0.093459922,0.156927359,0.00049975,81
0.16736523,0.035671568,0.096328476,0.237245006,0.00049975,82
0.131515091,0.024359879,0.08439675,0.17971388,0.00049975,83
0.135956221,0.039987563,0.059392215,0.216699127,0.00049975,84
0.085937363,0.020573535,0.048357677,0.128020745,0.00049975,85
0.063620541,0.011300727,0.042646429,0.086513991,0.00049975,86
0.127650275,0.031036882,0.067287249,0.187499272,0.00049975,87
0.140545807,0.019486904,0.103545757,0.180347122,0.00049975,88
0.168919513,0.032155984,0.107675493,0.234922332,0.00049975,89